id,name,description,parent_id,is_leaf,is_deleted,created_at
1,Electrónica,Productos electrónicos,,false,false,2024-01-01 10:00:00
2,Ropa,Ropa y accesorios,,false,false,2024-01-01 10:05:00
3,Hogar,Artículos para el hogar,,false,false,2024-01-01 10:10:00
4,Deportes,Artículos deportivos,,false,false,2024-01-01 10:15:00
5,Libros,Libros y lectura,,false,false,2024-01-01 10:20:00
6,Smartphones,Teléfonos móviles,1,true,false,2024-01-01 10:25:00
7,Laptops,Computadoras portátiles,1,true,false,2024-01-01 10:30:00
8,Camisetas,Ropa superior,2,true,false,2024-01-01 10:35:00
9,Pantalones,Ropa inferior,2,true,false,2024-01-01 10:40:00
10,Muebles,Mobiliario,3,true,false,2024-01-01 10:45:00
11,Cocina,Utensilios de cocina,3,true,false,2024-01-01 10:50:00
12,Fútbol,Deporte de fútbol,4,true,false,2024-01-01 10:55:00
13,Baloncesto,Deporte de baloncesto,4,true,false,2024-01-01 11:00:00
14,Ficción,Libros de ficción,5,true,false,2024-01-01 11:05:00
15,No Ficción,Libros informativos,5,true,false,2024-01-01 11:10:00
